Identifier,Status,Marker,Grade,Maximum Grade,Marking workflow state (Release grades and feedback),Grade can be changed,Last modified (submission),Last modified (grade),Feedback comments
Participant 12895756,Submitted for grading - Not marked,Anna Caunt,88,100,Not marked,Yes,"Wednesday, 24 April 2024, 3:02 PM","Tuesday, 23 April 2024, 10:57 PM",
Participant 12895871,Submitted for grading - Not marked,Daniel Graham,77,100,Not marked,Yes,"Wednesday, 24 April 2024, 2:02 PM","Wednesday, 24 April 2024, 2:02 PM",
Participant 12895698,Submitted for grading - Not marked,Ryan Statton,68,100,Not marked,Yes,"Tuesday, 23 April 2024, 11:26 AM","Tuesday, 23 April 2024, 11:26 AM",
Participant 12895791,Submitted for grading - Not marked,Prahlad Saldanha,65,100,Not marked,Yes,"Tuesday, 23 April 2024, 3:45 AM","Tuesday, 23 April 2024, 3:45 AM",
Participant 12895747,Submitted for grading - Not marked,Joel Solomons,65,100,Not marked,Yes,"Monday, 22 April 2024, 9:19 PM","Monday, 22 April 2024, 9:19 PM",
Participant 12895950,Submitted for grading - Marking completed,Dar'ya Klymenko,68,100,Marking completed,Yes,"Monday, 22 April 2024, 6:34 PM","Monday, 22 April 2024, 6:34 PM",
Participant 12895925,Submitted for grading - Marking completed,Dar'ya Klymenko,62,100,Marking completed,Yes,"Monday, 22 April 2024, 5:06 PM","Monday, 22 April 2024, 12:00 PM",
Participant 12895932,Submitted for grading - Not marked,Ryan Statton,65,100,Not marked,Yes,"Monday, 22 April 2024, 4:28 PM","Monday, 22 April 2024, 4:28 PM",
Participant 12895973,Submitted for grading - Not marked,Ryan Statton,65,100,Not marked,Yes,"Monday, 22 April 2024, 3:38 PM","Monday, 22 April 2024, 3:38 PM",
Participant 12895937,Submitted for grading - Not marked,Joel Solomons,77,100,Not marked,Yes,"Monday, 22 April 2024, 3:12 PM","Monday, 22 April 2024, 3:12 PM",
Participant 12895823,Submitted for grading - Not marked,Anna Caunt,62,100,Not marked,Yes,"Monday, 22 April 2024, 2:26 PM","Monday, 22 April 2024, 2:26 PM",
Participant 12895918,Submitted for grading - Not marked,Anna Caunt,58,100,Not marked,Yes,"Monday, 22 April 2024, 1:34 PM","Monday, 22 April 2024, 1:34 PM",
